"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"535","تبصرة  موقع الأصول / النسخ ","تبصرة  موقع الأصول / النسخ ","1","0","0","","","","BKA"
"536","تبصرة معلومات التمويل","تبصرة معلومات التمويل","1","0","0","","","","BKA"
"537","تبصرة مصدر البيانات - مهمل","تبصرة مصدر البيانات - مهمل","0","0","0","","","","BKA"
"538","تبصرة تفاصيل النظام","تبصرة تفاصيل النظام","1","0","0","","","","BKA"
"540","تبصرة شروط الاستخدام والاستنساخ","تبصرة شروط الاستخدام والاستنساخ","1","0","0","","","","BKA"
"541","تبصرة المصدر المباشر للتزويد","تبصرة المصدر المباشر للتزويد","1","0","0","","","","BKA"
"543","تبصرة معلومات الطلب - مهمل","تبصرة معلومات الطلب - مهمل","1","0","0","","","","BKA"
"544","تبصرة مواقع مواد أرشيفية أخرى","تبصرة مواقع مواد أرشيفية أخرى","1","0","0","","","","BKA"
"546","تبصرة اللغة","تبصرة اللغة","1","0","0","","","","BKA"
"547","تبصرة عنوان سابق","تبصرة عنوان سابق","1","0","0","","","","BKA"
"550","تبصرة الهيئة الناشرة","تبصرة الهيئة الناشرة","1","0","0","","","","BKA"
"552","تبصرة معلومات الكيان والخاصية","تبصرة معلومات الكيان والخاصية","1","0","0","","","","BKA"
"555","تبصرة الكشاف التراكمى/معينات الوصول","تبصرة الكشاف التراكمى/معينات الوصول","1","0","0","","","","BKA"
"556","تبصرة معلومات التوثيق","تبصرة معلومات التوثيق","1","0","0","","","","BKA"
"561","تاريخ الوصاية والملكية","تاريخ الوصاية والملكية","1","0","0","","","","BKA"
"562","تبصرة تعريف النسخة","تبصرة تعريف النسخة","1","0","0","","","","BKA"
"563","معلومات التجليد","معلومات التجليد","1","0","0","","","","BKA"
"565","تبصرة خصائص ملف الحالة","تبصرة خصائص ملف الحالة","1","0","0","","","","BKA"
"567","تبصرة منهجية","تبصرة منهجية","1","0","0","","","","BKA"
"570","تبصرة المحرر [مهمل]","تبصرة المحرر [مهمل]","1","0","0","","","","BKA"
"580","تبصرة غموض المدخل الموصل ","تبصرة غموض المدخل الموصل","1","0","0","","","","BKA"
"581","تبصرات مطبوعات عن المواد الموصوفة","تبصرات مطبوعات عن المواد الموصوفة","1","0","0","","","","BKA"
